trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
361,False,"{'a': 0.013416525469942842, 'e': 0.026833050939885684}",30,0,-9.677241883003887,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",1
362,False,"{'a': 0.013282360215243413, 'e': 0.026564720430486827}",25,9,26.778829588113055,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.013149536613090979, 'e': 0.026299073226181958}",30,6,38.690353470567146,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.013018041246960068, 'e': 0.026036082493920136}",30,12,-10.302318269031923,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
365,False,"{'a': 0.012887860834490467, 'e': 0.025775721668980935}",20,0,24.654615186475787,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.012758982226145563, 'e': 0.025517964452291125}",20,11,15.608087249896359,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.012631392403884107, 'e': 0.025262784807768213}",30,0,36.271171188675005,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.012505078479845267, 'e': 0.025010156959690534}",25,12,26.89799419186156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.012380027695046814, 'e': 0.024760055390093627}",20,10,18.91016164778882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.012256227418096345, 'e': 0.02451245483619269}",20,0,17.59823730970123,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
371,False,"{'a': 0.012133665143915381, 'e': 0.024267330287830763}",20,7,23.299173545227887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.012012328492476227, 'e': 0.024024656984952455}",25,7,26.918940088833285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.011892205207551465, 'e': 0.02378441041510293}",30,21,12.654003489978821,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.01177328315547595, 'e': 0.0235465663109519}",25,0,37.87104792608032,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.01165555032392119, 'e': 0.02331110064784238}",35,9,45.33013725086933,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.01153899482068198, 'e': 0.02307798964136396}",30,18,22.3417808990738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.011423604872475158, 'e': 0.022847209744950317}",30,10,-17.68567280777483,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
378,False,"{'a': 0.011309368823750407, 'e': 0.022618737647500813}",20,1,31.95983167817958,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.011196275135512903, 'e': 0.022392550271025807}",20,12,15.10919213698699,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.011084312384157774, 'e': 0.022168624768315548}",25,16,19.251253604871554,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.010973469260316197, 'e': 0.021946938520632394}",20,13,12.283930184824106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.010863734567713034, 'e': 0.02172746913542607}",25,8,31.62193278826798,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.010755097222035903, 'e': 0.021510194444071807}",25,0,40.96432816352885,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
384,False,"{'a': 0.010647546249815544, 'e': 0.021295092499631088}",35,11,42.66147052785591,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.01054107078731739, 'e': 0.02108214157463478}",20,10,19.28070322226837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
